SpMax_L,F04[C-N],C%,nO,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,class*
5.146,15,39.4,8,4.696,1.471,11.447,12,1.036,1.133,0,2,0,1.234,3,0,1,0,2.439,0,0,68.836,4.958,NRB
5.127,15,39.4,8,4.63,1.474,11.395,12,1.031,1.134,0,2,0,1.226,3,0,0,0,2.431,0,0,68.414,4.899,NRB
4.958,13,41.3,2,4.33,1.476,11.064,4,1.014,1.127,0,1,0,1.296,4,0,0,0,2.422,0,0,21.767,5.289,NRB
5.014,10,43.9,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.335,4,0,1,0,2.439,0,0,0,5.224,NRB
4.97,10,43.9,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.334,4,0,1,0,2.428,0,0,0,5.251,NRB
4.704,12,47.4,2,4.12,0.49,10.767,4,1.013,1.118,0,0,0,1.269,3,0,0,0,2.277,0,0,0,5.547,NRB
5.216,5,51.4,2,4.211,0.566,11.057,6,1.013,1.104,0,0,0,1.322,7,0,1,1,2.53,0,0,12.687,3.608,NRB
5.058,8,38.1,4,4.401,1.487,11.015,4,1.045,1.133,0,1,0,1.255,2,0,1,0,2.385,0,0,21.604,4.881,NRB
4.871,9,42.6,2,4.357,1.107,10.946,2,1.014,1.124,0,1,0,1.296,3,0,0,0,2.327,0,0,21.375,5.5,NRB
4.913,14,44.2,4,4.287,0.845,10.988,8,1.029,1.126,0,1,0,1.249,3,0,0,0,2.335,0,0,21.325,5.539,NRB
6.293,1,26.8,3,4.549,1.886,12.166,6,1.207,1.288,0,0,1,0.957,0,0,0,0,2.675,0,0,22.604,4.624,NRB
5.041,16,42.9,6,4.788,0.887,11.617,10,1.01,1.125,0,0,0,1.261,4,0,0,0,2.406,0,0,50.316,8.013,NRB
5.63,0,27.7,4,4.114,0.737,11.381,4,0.977,1.109,0,0,0,1.477,2,0,0,0,2.496,0,0,0,2.052,NRB
5.995,0,41.7,0,4.378,0.752,11.528,0,1.074,1.102,0,0,0,1.373,6,0,1,0,2.805,0,0,0,1.076,NRB
5.512,2,47.4,2,4.346,0.541,11.302,8,0.991,1.112,0,0,0,1.287,4,0,0,0,2.431,0,0,0,5.531,NRB
5.058,8,38.1,4,4.617,1.487,11.015,4,1.042,1.13,0,1,0,1.271,2,1,1,0,2.385,0,1,21.68,4.881,NRB
5.189,28,55.6,0,4.84,0,11.742,0,0.998,1.102,0,0,0,1.355,24,0,0,0,2.525,0,0,0,1.875,NRB
4.954,14,46.2,2,4.408,1.164,11.064,4,1.009,1.121,0,1,0,1.289,3,0,0,0,2.347,0,0,21.72,5.85,NRB
5.123,10,50,1,3.939,0.548,10.737,2,0.995,1.109,0,0,0,1.311,4,0,0,0,2.413,0,0,0,3.631,NRB
5.127,12,54.1,1,4.095,0.393,10.925,2,0.995,1.1,0,0,0,1.33,6,0,0,0,2.423,0,0,0,3.993,NRB
5.356,6,38.2,2,4.555,1.852,11.424,3,1.005,1.141,0,0,1,1.215,7,0,0,1,2.502,0,0,11.86,7.751,NRB
5.373,7,51.2,2,4.226,0.75,11.197,4,1.006,1.107,0,0,0,1.303,15,0,0,0,2.566,0,0,0,2.712,NRB
5.138,18,48,0,4.296,0.67,11.007,0,0.992,1.116,0,0,0,1.304,5,0,0,0,2.423,0,0,0,5.649,NRB
5.236,0,52.9,2,4.445,0.7,11.29,6,1.032,1.076,0,0,0,1.393,6,0,1,0,2.573,0,0,25.873,2.912,NRB
5.465,4,58.3,3,4.469,0.648,11.412,12,1.041,1.084,0,0,0,1.335,15,0,1,1,2.603,0,0,39.297,2.108,NRB
